id,typeTag,name,unit,notes
203,PROCNT,Protein,g, N/A
204,FAT,Total lipid (fat),g, N/A
205,CHOCDF,"Carbohydrate, by difference",g, N/A
207,ASH,Ash,g, N/A
208,ENERC_KCAL,Energy,kcal, N/A
209,STARCH,Starch,g, N/A
210,SUCS,Sucrose,g, N/A
211,GLUS,Glucose (dextrose),g, N/A
212,FRUS,Fructose,g, N/A
213,LACS,Lactose,g, N/A
214,MALS,Maltose,g, N/A
221,ALC,"Alcohol, ethyl",g, N/A
255,WATER,Water,g, N/A
257,NULL,Adjusted Protein,g, N/A
262,CAFFN,Caffeine,mg, N/A
263,THEBRN,Theobromine,mg, N/A
268,ENERC_KJ,Energy,kJ, N/A
269,SUGAR,"Sugars, total",g, N/A
287,GALS,Galactose,g, N/A
291,FIBTG,"Fiber, total dietary",g, N/A
301,CA,"Calcium, Ca",mg, N/A
303,FE,"Iron, Fe",mg, N/A
304,MG,"Magnesium, Mg",mg, N/A
305,P,"Phosphorus, P",mg, N/A
306,K,"Potassium, K",mg, N/A
307,NA,"Sodium, Na",mg, N/A
309,ZN,"Zinc, Zn",mg, N/A
312,CU,"Copper, Cu",mg, N/A
313,FLD,"Fluoride, F",microgram, N/A
315,MN,"Manganese, Mn",mg, N/A
317,SE,"Selenium, Se",microgram, N/A
318,VITA_IU,"Vitamin A, IU",IU, N/A
319,RETOL,Retinol,microgram, N/A
320,VITA_RAE,"Vitamin A, RAE",microgram, N/A
321,CARTB,"Carotene, beta",microgram, N/A
322,CARTA,"Carotene, alpha",microgram, N/A
323,TOCPHA,Vitamin E (alpha-tocopherol),mg, N/A
324,VITD,Vitamin D,IU, N/A
325,ERGCAL,Vitamin D2 (ergocalciferol),microgram, N/A
326,CHOCAL,Vitamin D3 (cholecalciferol),microgram, N/A
328,VITD,Vitamin D (D2 + D3),microgram, N/A
334,CRYPX,"Cryptoxanthin, beta",microgram, N/A
337,LYCPN,Lycopene,microgram, N/A
338,LUT+ZEA,Lutein + zeaxanthin,microgram, N/A
341,TOCPHB,"Tocopherol, beta",mg, N/A
342,TOCPHG,"Tocopherol, gamma",mg, N/A
